Location,Trial_Group,Subset,Pedigree,REP,YLD,H2O
LOC1,TG01,TG01A,CHECK1,1,205.6714991,11.06
LOC1,TG01,TG01A,CHECK2,1,200.5735224,11.72
LOC1,TG01,TG01A,CHECK2,2,179.8629919,11.93
LOC1,TG01,TG01A,POP1_IND_125,1,197.7059105,13.08
LOC1,TG01,TG01A,POP1_IND_143,1,177.4733153,11.13
LOC1,TG01,TG01A,POP1_IND_16,1,196.5907281,15.32
LOC1,TG01,TG01A,POP1_IND_38,1,223.1957942,13.48
LOC1,TG01,TG01A,POP1_IND_46,1,189.1030747,15.33
LOC1,TG01,TG01A,POP1_IND_48,1,224.4702884,13.34
LOC1,TG01,TG01A,POP1_IND_55,1,235.1441772,14.12
LOC1,TG01,TG01A,POP1_IND_75,1,200.5735224,13.11
LOC1,TG01,TG01A,POP1_IND_77,1,220.0095587,14.7
LOC1,TG01,TG01A,POP1_IND_87,1,194.9976103,14.68
LOC1,TG01,TG01A,POP1_IND_9,1,209.0170464,15.38
LOC1,TG01,TG01A,POP2_IND_118,1,206.468058,12.39
LOC1,TG01,TG01A,POP2_IND_122,1,200.7328342,15.36
LOC1,TG01,TG01A,POP2_IND_168,1,183.2085391,14.03
LOC1,TG01,TG01A,POP2_IND_181,1,210.9287876,15.41
LOC1,TG01,TG01A,POP2_IND_31,1,205.1935638,17.41
LOC1,TG01,TG01A,POP2_IND_50,1,206.1494344,14.72
LOC1,TG01,TG01A,POP2_IND_81,1,229.2496416,13.49
LOC1,TG01,TG01A,POP2_IND_82,1,198.1838458,15.78
LOC1,TG01,TG01A,POP3_IND_8,1,178.1105624,12.01
LOC1,TG01,TG01B,CHECK1,1,199.2990282,11.14
LOC1,TG01,TG01B,CHECK2,1,211.406723,11.41
LOC1,TG01,TG01B,CHECK2,2,206.7866815,11.63
LOC1,TG01,TG01B,CHECK2,3,227.0192767,11.43
LOC1,TG01,TG01B,CHECK2,4,240.2421539,11.69
LOC1,TG01,TG01B,POP3_IND_40,1,213.3184642,11.14
LOC1,TG01,TG01B,POP4_IND_10,1,209.3356699,11.1
LOC1,TG01,TG01B,POP4_IND_101,1,192.1299984,10.32
LOC1,TG01,TG01B,POP4_IND_121,1,213.7963996,13.59
LOC1,TG01,TG01B,POP4_IND_154,1,215.7081408,10.91
LOC1,TG01,TG01B,POP4_IND_176,1,207.1053051,11.82
LOC1,TG01,TG01B,POP4_IND_188,1,198.1838458,10.23
LOC1,TG01,TG01B,POP4_IND_202,1,218.8943763,10.65
LOC1,TG01,TG01B,POP4_IND_220,1,191.3334395,11.96
LOC1,TG01,TG01B,POP4_IND_84,1,200.5735224,10.05
LOC1,TG01,TG01B,POP5_IND_14,1,208.2204875,10.42
LOC1,TG01,TG01B,POP5_IND_239,1,211.2474112,14.92
LOC1,TG01,TG01B,POP5_IND_42,1,205.3528756,13.6
LOC1,TG01,TG01B,POP5_IND_82,1,232.5951888,14.51
LOC1,TG02,TG02A,CHECK1,1,224.1516648,11.73
LOC1,TG02,TG02A,CHECK2,1,204.8749403,13.04
LOC1,TG02,TG02A,CHECK2,2,227.8158356,13.17
LOC1,TG02,TG02A,POP1_IND_27,1,214.2743349,13.76
LOC1,TG02,TG02A,POP1_IND_30,1,230.0462004,16.48
LOC1,TG02,TG02A,POP1_IND_4,1,219.0536881,12.86
LOC1,TG02,TG02A,POP1_IND_40,1,204.7156285,11.45
LOC1,TG02,TG02A,POP1_IND_50,1,222.7178589,13.95
LOC1,TG02,TG02A,POP1_IND_51,1,202.0073283,15.78
LOC1,TG02,TG02A,POP1_IND_60,1,216.1860762,15.87
LOC1,TG02,TG02A,POP1_IND_61,1,197.3872869,13.88
LOC1,TG02,TG02A,POP1_IND_7,1,252.6684722,14.09
LOC1,TG02,TG02A,POP1_IND_72,1,214.4336467,12.8
LOC1,TG02,TG02A,POP1_IND_83,1,204.5563167,15.73
LOC1,TG02,TG02B,CHECK1,1,169.9856619,12.14
LOC1,TG02,TG02B,CHECK2,1,225.5854708,12.31
LOC1,TG02,TG02B,CHECK2,2,182.2526685,13.46
LOC1,TG02,TG02B,POP1_IND_107,1,178.9071212,14.11
LOC1,TG02,TG02B,POP1_IND_108,1,183.3678509,13.77
LOC1,TG02,TG02B,POP1_IND_109,1,208.8577346,13.8
LOC1,TG02,TG02B,POP1_IND_127,1,227.9751474,16.6
LOC1,TG02,TG02B,POP1_IND_130,1,219.0536881,15.26
LOC1,TG02,TG02B,POP1_IND_90,1,209.6542935,15.38
LOC1,TG02,TG02B,POP1_IND_98,1,230.0462004,12.72
LOC1,TG02,TG02B,POP2_IND_105,1,205.6714991,19.12
LOC1,TG02,TG02B,POP2_IND_152,1,189.8996336,20.96
LOC1,TG02,TG02B,POP2_IND_186,1,182.0933567,16.99
LOC1,TG02,TG02B,POP2_IND_44,1,185.4389039,15.22
LOC1,TG02,TG02B,POP2_IND_57,1,198.8210929,14.74
LOC1,TG02,TG02B,POP2_IND_92,1,207.1053051,18.57
LOC1,TG02,TG02B,POP2_IND_98,1,229.7275769,15.31
LOC1,TG02,TG02B,POP3_IND_51,1,177.1546917,12.2
LOC1,TG02,TG02B,POP4_IND_22,1,161.3828262,10.68
LOC1,TG02,TG02B,POP4_IND_27,1,234.1883065,14.63
LOC1,TG02,TG02B,POP4_IND_3,1,199.1397164,14.4
LOC1,TG02,TG02B,POP4_IND_33,1,200.5735224,12.1
LOC1,TG02,TG02B,POP4_IND_40,1,185.7575275,12.21
